A.A. TRAVEL ACCOMMODATION ABROAD|||||32, Omirou Street, 171 21 N.Smyrni, Athens Tel 210-9344454, 9344827, 9344172, Fax: 210-9353424 Manager: Eleftheria Kouni [mappress] 
TROODOS TRAVEL|||||3, Fanomachou Street, 157 71 Ilisia Tel (210) 7773258, 7796966, Fax (210) 7799387 Owner/Manager: A. Christoforou Member of: IATA (code 27-0 0447), HATTA E-mail: troodos1@hol.gr Branch Office: 44, Papagou & 15, Amfitritis, Zografou Tel (210) 7778288, Fax (210) 7774811 
TRYFON TOURS|||||55, V. Sofias  Street, 115 21 Athens Tel (210) 7293333, Fax (210) 7293334, Tlx 222248 Owner: Trifon Tours Ltd., Manager: Trifon Kyriakouros Member of: HATTA, ASTA 
TSOKAS DION. & CO|||||279, Messoghion Street, 152 31 Halandri Tel (210) 6723576, 6717667, 6755827, Fax (210) 6710332 Owner: Nick & Evangelos Tsokas, Manager: Nikolaos Tsokas Member of: HATTA 
TSOKAS TRAVEL TOURISM & MOTORCOACH CO|||||15-17, Komotinis Street, 153 44 Gerakas Tel (210) 6613100, Fax (210) 6047997 Owner: Tsokas G. S.A. Member of: HATTA GDS : Amadeus 
T & T EXECUTIVE|||||193, Kifissias Avenue & 24, Iereos Doussi Street, 151 24 Maroussi Tel (210) 8055393, Fax (210) 6984294 Owner: F. Epifani, Manager: A. Epifani, Th. Mavroidakos Member of: HATTA, IATA (code 27-2 0999)
TUI HELLAS|||||16, Karyatidon Street, K. Kifissia Tel (210) 3502000, Fax (210) 3502710, Owner: TUI HELLAS S.A., Managing Director: M. Mavropoulos Financial Director: Ms. Lilla Dimopoulou Incoming Tourism & Business Dev.: Director: And. Moniakis Other branch offices in: Zakynthos, Mykonos, Karpathos, Chios, Heraklion, Chania, Rethymno, Corfu, West Peloponese Kato Achaia, Lesvos, Samos, Santorini, Rodos, Skiathos, Thessaloniki, Naxos, Thassos, Kefalonia Member of: HATTA, SETE 
TZS GROUP|||||1, K. Palama Street, 122 43 Egaleo, Tel (210) 2465800, Fax (210) 2467100 Owner: A. Tampouratzis 
UNIQUE YACHTS/GPSC Group|||||3, Ravine St., 115 21 Kolonaki Tel (210) 7212201, 7219845, Fax (210) 7259037 Owner/Manager: Alexis Konstantarakis Branch offices in: U.S.A., Germany, Switzerland 
UNITED TRAVEL & TOURING Ltd|||||137, Syngrou Avenue, 171 21 Ag. Sostis, Athens Tel (210) 9354532, 9355178, Fax (210) 9324735 Owner: United Travel & Touring Ltd, Manager: Mrs Sm. Tzitzinia Member of: IATA (code 27-0 0074), HATTA 
UNIVERSAL TRAVEL AGENCY|||||28, Academias Ave., 106 71 Athens Tel (210) 3617004, 3619525, Fax (210) 3614516, Owner/Manager: Ms Alexandra Papanastassiou Member of: HATTA 
UNIVERSE TRAVEL Ltd|||||66, Ilioupoleos Av. & Terpsihoris Str, 116 36 Ag. Ioannis, Athens Tel (210) 9011013, Fax (210) 9011750 Mobile phones: 6977 523692, 6944 535383 Owner: Universe Travel Ltd, Vat Reg No: 095516630, DOY: IH’ ATHINON Manager: Spyros Karydis Supervisor: Ms Konstantina Kyranaki, E-mail: dina@univers.gr Member of: IATA (code 27-2 1151) GDS: Pars 
UTC TRAVEL AGENCY Ltd|||||20, Nikis St., 105 57 Athens, Tel (210) 3226880, 3226513, Fax (210) 3235251 Owner/Manager: Th. Karamitros Member of: POET 
VACANCES HELIADES|||||Head Office: 24, Vouliagmenis Avenue, 166 75 Glyfada Tel (210) 9602780, Fax (210) 9602786 Owner: Vacances Heliades S.A., VAT 094475263, FAE Piraeus Commercial Dept: Mrs Nana Mavronikola, Member of: HATTA Other branch office in: Heraklion
VENUS TRAVEL Ltd|||||14, Xenofontos Street, 105 57 Athens Tel (210) 3246542-6, Fax (210) 3238258 Owner: Venus Travel Ltd., Vat Reg No: 095062024, DOY: D’ ATHINON Manager: Ioakim Ioakimidis Member of: IATA (code 27-2 3561), ASTA, HATTA PETAGA, UFTAA GDS: Sabre
VERIA TOURS|||||4, Ag. Konstantinou Ave., 104 31 Athens Tel (210) 5227232, 5223864, 5222187, Fax (210) 5222187 Owner: Panagiotis Tsiplakos, Manager: Ms Katerina Tsiplakou Member of: HATTA
VERNICOS YACHTS|||||11, Posidonos Ave., 174 55 Alimos Tel (210) 9896000, Fax (210) 9850130 Owner: Vernicos Yachts, Manager: George Vernicos 
VERSUS TRAVEL|||||7, Filellinon Street, 105 57 Athens Tel (210) 3232800, Fax (210) 3232450 RegCo: Versus Travel Ltd., VAT 999016514 (Piraeus) E-mail: info@versus-travel.gr, Web site: www.versus-travel.gr Owner: Evangelos Katsimichas, Manager: Ms Roula Katsimicha 
VIAJES LO MEJOR TRAVEL|||||11, Nikis Street, 105 57 Athens Tel (210) 3226824, 3226852, 3311332, Fax (210) 3252474 Owner/Manager: Ulises K. Kukulas E-mail: viajeslomejor@travelling.gr 
VIAMARE ALL YEAR TRAVEL|||||2, Missaraliotou Street, 117 42 Athens Tel (210) 9228930-2, Fax (210) 9228940 Owner: Viamare All Year Travel Ltd., Manager: John Papadimitriou, Operations Manager: Ms Irine Sitara Member of: HATTA 
VIEXAL LTD|||||16, Chimaras Street, 151 25 Maroussi, Tel (210) 6861111, Fax (210) 6861429 Owner: Viexal Ltd, General Manager: Evangelos Moustakas Manager: George Karatzas Member of: IATA (code 27-2 0989), GDS: Galileo 
VIVA TOURISMO|||||28, Ethn. Antistaseos Street, 121 34 Peristeri, Tel (210) 5774539, 5770094, Fax (210) 5770094 Owner/Manager: Mrs Z. Alafouzou Member of: IATA (code 27-0 0282), GDS: Galileo
VLASSOPOULOS TRAVEL SERVICES|||||74, Arapaki & Matzagriotaki Streets, 176 76 Kallithea Tel (210) 9579300, Fax (210) 9579304 Owner/Manager: Efstathios Vlassopoulos Member of: IATA (code 27-0 0768) GDS: Sabre 
CARLSON WAGONLIT|||||Athens Head office: 204, Messoghion Ave, 155 61 Athens, Tel (210) 6509400, Fax (210) 6511712, VAT 098109280, FAE ATHENS Deputy Country General Manager: Makis Benetatos Traveler Services Director: Nikolaos Christofidis CWT Meetings & Events Director Michalis Kanakis Financial Controller: George Patergiannakis Member of: IATA (code 27-2 1880), HATTA, SETE, PETAGA On line with: Galileo E-mail: info@carlsonwagonlit.gr Website: www.carlsonwagonlit.gr Branch office in Athens: 91, Vas. Sofias Ave, 109 60 Athens Tel (210) 7202166, Fax (210) 7258259 Manager: Mr F. Koukios Member of: IATA (code 27-2 0116), HATTA, SETE All Travel and tourism arrangements 
WEDDING TOURS|||||57, Alexandras Avenue, 114 73 Athens, Tel (210) 6450274-5, 6470428-9, Fax (210) 6450275 Owner: S. Tsakanikas, Manager Marketing & Development: M.Tsakanika Member of: IATA (code 27-2 3827), HATTA, GDS: Sabre 
WONDERLAND TRAVEL SERVICES|||||2, Panagitsas Street, 145 62 Kifissia Tel (210) 8012198, 8018582, 8018583, Fax (210) 8018441 Owner: Stavros Psaroudakis Member of: IATA (code 27-2 1049), GDS: Amadeus, Galileo 
XENOS TRAVEL|||||18, Voulis St., 105 63 Athens Tel (210) 3246114, Fax (210) 3235958 Member of: IATA (code 27-2 0037), PETAGA Manager: John Makropoulos 
XILOURIS TRAVEL|||||14, Vournazou Street, 115 21 Ambelokipi Tel (210) 6458888, 6424724, Fax (210) 6435266 Owner/Manager: C. Xilouris Branch office in: Nikea, Heraklion Member of: IATA (code 27-0 0238), HATTA 
XT TRAVEL SERVICES LTD|||||1, Omirou Street, 171 21 N. Smirni Tel (210) 9343468, Fax (210) 9356512 Owner: Ms Christina Tetradi Member of: IATA (code 27-0 0747) 
X-TREME CLUB|||||44, Kolokotroni Street, 142 31 Perissos – Athens Tel (210) 2522591, Fax (210) 2522317 Owner/Manager: Nikos Kantzos, Vat Reg No: 106799180, DOY: Neas Ionias Member of: HATTA 
YADES|||||8, Milioni St., 106 73 Athens, Tel (210) 3640441, Fax (210) 3633733 Manager: Varvara Avdi Member of: HATTA 
YALOS TOURS|||||14, Trivonianou St., 116 36 Athens Tel (210)9248950-1, Fax (210)9248690 Owner/Manager: Christodoulos Panaretou Member of: HATTA 
YANNA TOURS|||||22, Filellinon Street, 105 57 Athens Tel (210) 3229802, 3226056, 3226704, Fax (210) 3229807 Owner/Manager: Ioanna Papaskouli Branch office in: Chalkis – Evia Member of: IATA (27-2 0236) GDS: Galileo, Amadeus 
YASOU TRAVEL|||||42, Adrianiou Street, 115 25 N. Psyhiko, Tel (210) 6754772, Fax (210) 6770598 Manager: Spyros Karapanos Member of: IATA (27-0 0770) www.yasou.gr
ZANKO TRAVEL|||||12, Koumoundourou Street, 104 37 Athens, Tel (210) 5249265, 5241050, Fax (210) 5248704, Owner/Manager: Ms Anna Zagle Member of: HATTA 
ZEUS TOURS & YACHT CRUISES|||||214, Syngrou Avenue, 176 72 Kallithea, Tel (210) 6919191, Fax (210) 6998484 Owners/Managers: L. Venetopoulos, Mrs Chr. Venetopoulou Member of: ASTA, GITO, HATTA  
ZIK ZAK TRAVEL|||||62, Ioulianou Street, 104 40 Athens Tel (210) 8833050, Fax (210) 8833354 Manager: Magdalena Markowska Agnieszka Member of: HATTA 
ZORBAS SUMMER|||||78d, Akademias Street, 106 78 Athens Tel (210) 3819055, 3823312, 3838700, Fax (210) 3843953, VAT 10173176, A’ ATHENS Owner/Managing Director: Hercules Liambos Member of: IATA (code 27-2 1079) GDS: Amadeus 
ZORBAS TRAVEL & TOURISM|||||18, Voulis Street, 105 63 Athens Tel (210) 3248893-4, Fax (210) 3235044 Owner/Manager: E. Zaroliagi 
ZORPIDIS TRAVEL|||||3, Metropoleos Street, 105 57 Athens Tel (210) 3215026, 3248927, 3239056, Fax (210) 3234685 Owner: Zorpidis Tourist Ent. S. A. Manager: Kon. Mitsopoulos GDS: Galileo. Member of: IATA (code 27-2 0417)
ZOUHRI DESTINATIONS MANAGMENT|||||18, Fidiou Street, 106 78 Athens Tel 2103835666, Fax 2103839053 Manager: Abdera Xim Zou Xri Member of: HATTA 
ZYGOS TRAVEL|||||10, Glisti Street, 117 44 N. Kosmos, Tel (210) 9016940,  Fax (210) 9015177 Owner/Manager: Mrs Ioanna Athanasopoulou Member of: HATTA GDS: Galileo 
